位於 at
價格 price
秦王 qin
扎伊 zai
光度 spectrophotometry
khan khan
gamma gamma
快餐 snack
戲劇 drama
戰勝 victory
充当 as
collection collection
入学 entrance
立場 stand
father father
purge purge
新生代 cenozoic
成因 causes
生命力 vitality
summary summary
外流 drain
again again
佳音 caroling
奥斯卡 oscar
戒嚴 abstinence
冷凍 frozen
碼頭 pier
我国 china
保證 guarantee
认为 think
橫向 laterally
otto otto
games games
租用 hire
外海 offshore
保護 protect
竹北 zhubei
科目 subjects
亞美尼亞 asia-america
英寸 inches
老百姓 people
西郊 xijiao
租界 concession
linguistics linguistics
全家 family
先得 first
八字 character
好感 favor
先後 first
西部 western
芒果 mango
室女座 virgo
議員 members
established established
公子 son
磷酸 phosphate
竹南 zhunan
大殿 hall
成型 molding
英尺 feet
物理學家 physicists
大同市 datong
横山 hengshan
茶叶 tea
公安 police
湄公河 mekong
bottom bottom
重返 reintegration
戈壁 gobi
六安 luan
公家 public
大气 atmosphere
如意 ruyi
otimes otimes
network network
全局 global
認為 think
infty infty
修訂 fix
機器 machine
妄想 paranoid
重逢 reunion
resources resources
奇案 mystery
公寓 apartment
comic comic
天气 weather
共存 coexistence
score score
天氣 weather
打倒 down
大江 oedo
quote quote
大汗 sweat
高知 kochi
君士坦丁 constantine
天水 tianshui
基部 base
战场 battlefield
懷孕 pregnant
見過 met
内外 outside
若干 several
poster poster
几个 several
southern southern
公尺 feet
讀取 read
metacritic metacritic
臨終 finally
特定 specific
第三 third
dual dual
第七 vii
第一 first
scott scott
天池 tianchi
morris morris
發動機 machine
燃燒 burns
saint saint
几乎 almost
立委 legislators
大河 river
都不能 can't
photo photo
科研 research
swing swing
城隍 chenghuang
大沽 dagu
伺服器 server
大法 dafa
mohamed mohamed
交通部 traffic
槍械 gun
手冊 manual
transmission transmission
冷却 cooling
變動 change
桌面 desktop
明信片 postcard
天河 tianhe
牧師 pastor
军团 corps
手册 manual
冷卻 cold
威力 power
第九 ninth
trust trust
促進 promote
其它 other
積極 positive
姿勢 posture
大洋 ocean
视觉 visual
大津 otsu
scope scope
molecular molecular
變化 change
大洲 continents
第五 v
hlist hlist
message message
第二 second
珊瑚礁 reefs
truth truth
micro micro
記者 journalist
妻子 wife
模式 mode
movie movie
fontsize fontsize
农场 farm
茂密 dense
天津 tianjin
基金 fund
姊妹 sister
私立 private
大浪 waves
核潜艇 submarine
不可思議 incredible
信賴 trustworthy
大海 sea
穿插 interspersed
议会 discussion
樣式 type
花旦 actress
姊姊 sister
花旗 citigroup
sacred sacred
妖怪 monster
灵魂 soul
草原 grassland
高祖 emperor
業界 industry
future future
舊稱 old
打入 into
几何 geometry
duke duke
body body
全市 city
mode mode
愛麗絲 alice
always always
地平線 horizon
證實 proof
种种 various
重量 weight
重重 heavy
茨城 cicheng
兼容 compatible
機場 airport
傳球 legend
postal postal
憲政 constitution
諺文 諺
姐妹 sisters
大港 dagang
手動 hand
體積 volume
巴洛克 baroque
梅里 merry
二氧化碳 carbon
兇手 killer
催生 spawned
托克 trader
醫院 hospital
全年 year
姐姐 sister
打出 play
oxford oxford
protein protein
english 中文版
公布 published
margin margin
流行歌曲 pop
熟知 known
subst subst
mount mount
英式 british
见证 witness
打到 hit
娱乐 entertainment
溫哥華 vancouver
槍機 gun
eddie eddie
成婚 married
概率 probability
依附 attachment
兩度 sando
kids kids
vice vice
格鬥 battle
太湖 taihu
再婚 remarried
大溪 tahiti
姑娘 girl
奧會 olympic
内存 memory
through through
特工 agent
strength strength
officer officer
花木 flowers
公平 fair
view view
毛茛科 ranunculaceae
花期 flowering
惠美 huimei
感知 perception
bold bold
高空 altitude
駕駛 piloted
空手道 karate
bulgarian bulgarian
文言文 writings
請求 please
曾經有 had
book book
playstation playstation
克拉 carat
证书 certificate
鎖定 lock
内容 content
詳盡 detailed
kiha kiha
检讨 review
視野 video
設置 settings
mouth mouth
英德 yingde
momo momo
icao icao
duty duty
jonathan jonathan
戰地 battlefield
觀賞 watching
驚訝 surprised
脊髓 spinal
princess princess
奧林 olin
竹园 zhuyuan
公开 public
images images
viii viii.
契機 lease
公式 formula
moon moon
phone phone
damage damage
boss boss
氨基酸 amino
應援 assistance
pattern pattern
出世 born
physics physics
mort mort
高等 higher
金錢 money
羅密歐 rome
more more
born born
依靠 on
kill kill
打印 print
馬龍 horse
假若 if
多年來 years
笔名 pseudonym
親近 close
急需 need
稀疏 sparse
київ київ
譬如 like
筆下 pen
傻瓜 fool
percentage percentage
惩罚 punishment
hyper hyper
錦標 antony
king king
八德 bade
both both
諾曼 norman
第八 viii
most most
鬥爭 battle
驗證 experience
第六 vi
保送 walks
凭借 with
观赏 ornamental
出于 for
move move
订单 order
候補 waiting
希特勒 hitler
側線 sideways
北冰洋 arctic
橘子 orange
催眠 hypnosis
册封 canonized
兌換 confirmed
戰場 battlefield
boys boys
kiss kiss
全息 holographic
魔法 magic
特征 characteristics
personal personal
舊約 old
成就 achievements
大火 fire
南北向 north-south
特洛伊 troy
牽引 lead
兑换 exchange
kira kira
槍決 gun
護士 nurse
icon icon
出任 as
創辦人 creators
特徵 features
腦部 brain
vita vita
等于 equals
大炮 cannon
多爾 seoul
兼并 merger
煙花 fireworks
fighter fighter
立川 tachikawa
星期日 sunday
princeton princeton
信道 channel
france france
無視 ignore
團體賽 teamwork
特快 express
稱為 called
兵役 service
體系 system
戰士 warriors
关心 care
little little
特性 characteristics
特急 urgent
找來 find
出來 out
傳真 legend
懷念 mindfulness
jersey jersey
謀殺案 murder
其後 after
over over
警官 officer
所在 area
如是 as
football football
讨厌 hate
冬天 winter
燦爛 brightening
heinrich heinrich
童子 boy
女校 girls
元旦 year
充斥 full
空格 spaces
草地 grass
謹慎 cautious
天然 natural
真言宗 mantra
警察 police
tomorrow tomorrow
ridership ridership
航程 voyage
誕生 born
樂曲 music
航海家 navigator
科系 department
都柏林 dublin
高級 high
草坪 lawn
table table
英才 excellence
分享 share
航空 aviation
花樣 flowers
訊號 information
第十 xi
符号 symbol
犹太 jewish
符合 meet
西非 ecowas
究極 extreme
mpeg mpeg
特意 specially
扭力 torque
基隆 keelung
苗族 miao
采集 acquisition
克斯 cox
西面 west
填補 fill
無論 regardless
分会 branch
版本 version
解讀 read
先是 first
光明 light
独占 exclusive
等候 waiting
穿梭 shuttle
免於 from
格林威治 greenwich
分佈 distribution
大片 large
荒地 heath
八成 probably
geography geography
投下 dropped
認真 confess
製作所 manufacturing
glory glory
修道 monasticism
元朝 yuan
墓葬 tombs
扰动 disturbance
motor motor
countryofbirth countryofbirth
報道 reports
總動員 athlete
如果 if
言行 behavior
公所 ccba
批准 approved
立志 determined
manager manager
奧斯卡 orlando
成年 adult
驅逐 td
议员 members
express express
dennis dennis
cdots cdots
刑事 criminal
所谓的 's
投了 voted
腹部 abdominal
出入 access
公投 referendum
oracle oracle
諾貝爾 promise
出兵 troops
再度 again
idao idao
pagasa pagasa
社運 society
外甥 nephew
idea idea
批判 critical
戀情 love
内心 heart
金陵 jinling
為題 problem
模擬 simulation
認知 know
外界 outside
里面 inside
声称 claim
抓住 caught
在校生 students
children children
review review
戀愛 love
標明 standard
guide guide
ドラマ ドラマ
克朗 krona
克服 overcome
特技 stunt
墜落 fall
党政 party
找出 find
识别 recognition
motto motto
兒時 when
光束 beam
冬季 winter
威夫 fukui
racing racing
多用 multi-use
range range
则为 is
大王 king
coord coord
创业 entrepreneurship
顯示器 display
記號 memory
多田 multi-field
成形 forming
倡議 initiative
竣工 completion
elements elements
种群 population
竹子 bamboo
爆炸 explosion
其所 its
初三 third
榮獲 glory
天王 uranus
初一 first
反革命 counter-revolutionary
抗体 antibody
特指 especially
关押 held
salmon salmon
壓縮 compressed
大理 dali
夏目 natsume
reborn reborn
初中 junior
第三次 third
总额 total
共振 resonance
銀色 silver
出力 output
天球 celestial
若是 if
初二 second
等到 until
idol idol
wikia wikia
出動 movement
極端 extreme
初五 duanwu
童年 childhood
require require
则会 then
苗栗 miaoli
鮮明 ming
冠軍賽 championship
高考 entrance
培養 culture
標本 standard
newspaper newspaper
ferdinand ferdinand
私自 privately
丹尼爾 danny
决定 decision
父母 parents
commission commission
詩經 poetry
物料 item
手套 gloves
怎麼 how
承包 contract
娃娃 doll
角逐 competition
意義 meaning
吸血鬼 vampire
马赛 marseille
november november
金額 gold
言語 language
fantasy fantasy
owen owen
英文 english
鋼琴 piano
謀殺 murder
懸掛 suspense
舅舅 uncle
穆爾 mur
凝固 solidification
石灰岩 limestone
牌楼 archway
言論 speech
分別 separate
空气 air
航線 navigation
大甲 tachia
大田 field
空氣 air
兩支 two
打壓 pressure
自薦 recommended
樓梯 stairs
小百合 sayuri
房子 house
romance romance
atlas atlas
catalog catalog
詳細 detailed
大略 ontario
全文 full-text
试剂 reagent
天生 born
婦人 people
第四 iv
出口 export
分割 segmentation
indonesia indonesia
英明 wise
sydney sydney
植被 vegetation
承受 bear
高能 high-energy
華盛頓 washington
出台 introduced
別人 others
población población
切割 cutting
全新 new
墮落 abortion
若果 if
太田 ota
房客 tenant
印地安人 indians
慈禧 empress
雕塑家 sculptor
糖尿病 diabetes
全日制 full-time
憲法 constitution
模板 template
策划 planning
視頻 video
列傳 list
投入 input
假裝 fake
光榮 glory
利于 facilitate
公文 document
利亞 leo
西魏 xiwei
including including
ἀναγνώρισις ἀναγνώρισις
公斤 kg
艾瑪 emma
移籍 emigration
八旗 baqi
抑制 inhibition
版權 copyright
读书 reading
分化 differentiation
托夫 kurchatov
房屋 housing
該縣 county
特效 effects
策劃 planning
塑造 shaped
空洞 empty
分區 subregional
抓到 caught
奶油 cream
concert concert
投出 cast
出品 produced
党校 party
全景 panoramic
所属 belongs
六日 6th
百家姓 surnames
奇特 strange
划出 draw
高興 hi
列入 include
冰川 glacier
如此 so
廣東話 cantonese
兰斯 lan
话剧 drama
大白 jaws
划分 division
片段 fragment
moment moment
保障 protection
attack attack
草屯 tsaotun
科舉 branch
稻田 paddy
僱用 employed
保險 insurance
马车 carriage
team team
services services
猶他 jewish
天皇 emperor
信阳 xinyang
出售 sale
ieee ieee
热门 hot
無辜 innocent
太白 taibai
討論 discussing
阿拉伯人 arabs
證據 evidence
tech tech
魔王 lord
验证 authentication
campus campus
才子 wit
神道 shinto
瑪利亞 mary
到任 any
申請者 applicants
典故 allusions
笑容 smile
concept concept
列出 listed
假設 suppose
牡丹江 mudanjiang
mistyrose mistyrose
全村 village
初八 day
teen teen
论坛 forum
八月 august
空港 airport
娘娘 sissy
奉献 dedication
委托 delegate
傳統 tradition
偏見 biased
公有 public
golden golden
傳給 pass
偏西 west
公會 public
天真 naïve
多項式 multi-project
訂購 subscribe
omega omega
一封信 letter
六月 june
戒指 ring
懷俄明州 russian
几天 days
戰役 combat
一系列 series
刚刚 just
unknown unknown
奉獻 serving
到來 come
事務所 mission
兩架 two
獄中 hell
打字 typing
老年人 elderly
外科 surgical
保定市 baoding
候選 waiting
警戒 alert
friendly friendly
tell tell
写成 written
自衛 self-defend
island island
created created
format format
發射器 emitter
corps corps
共有 total
自行 itself
全校 school
特有 unique
先民 ancestors
苹果 apple
大砲 cannon
temp temp
抗原 antigen
创办 founded
velocity velocity
制作 production
独奏 solo
diamond diamond
證明 prove
增補 replenishment
多种 multiple
樹木 tree
草帽 hat
判决 judgment
areas areas
tianya tianya
別冊 manuals
投向 into
票選 vote
科西嘉 corsica
减少 reduce
物業 physical
减小 reduce
找回 back
模樣 mode
所幸 fortunately
業者 entrepreneurs
留下來 stay
立方 cubic
自製 self-manufacturing
折叠 folding
利克 zoellick
出国 abroad
内政 interior
拉丁 latin
解釋 explain
term term
扁平 flat
先河 precedent
判刑 sentenced
possible possible
出土 unearthed
樹林 trees
具有 has
决心 determination
under under
murray murray
divisions divisions
娘家 maiden
margaret margaret
highway highway
angeles angeles
test test
光波 optical
俄羅斯 russia
欄位 position
保養 nutrition
training training
初十 decade
拍下 shoot
夜空 sky
莊園 manor
担任 as
荒川 arakawa
威廉 william
警探 detective
富蘭克林 franklin
手工 manual
奇異 bizarre
兼有 with
设备 equipment
text text
反映出 reflect
良种 seed
成效 effectiveness
爆發 detonation
增設 add
护卫 guard
government government
所得 proceeds
變得 becomes
天神 tenjin
太祖 taizu
設計 design
出場 out
檢察 observation
辦事處 work
課程 course
祭酒 jijiu
場面 scene
includes includes
鬼神 ghosts
俄亥俄 ohio
荒廢 wasteland
出境 exit
訪談 interview
種種 species
试图 trying
威德 wade
included included
銀行 bank
外籍 foreign
打工 work
properties properties
傳聞 news
亞利桑那 the
觀音 audio
牛津 oxford
傷者 injured
般若 prajna
抵制 resist
愛華 edward
前任 former
独家 exclusive
industry industry
橋本 bridge
充滿 filled
eccentricity eccentricity
光源 light
媒介 media
二十四 24
天空 sky
agent agent
牧民 herdsmen
狀態 state
сайт сайт
seven seven
arena arena
多米 dom
太空 space
試著 try
ececec ececec
光滑 smooth
重點 heavy
前作 before
慶祝 celebration
安哥拉 angola
以色列 israel
全欧 all-europe
套用 autoformat
布拉格 prague
抽出 take
立案 owners
前來 ago
或是 or
突然 suddenly
修飾 trim
刪去 delete
处罚 punishment
爆破 blasting
处置 set
想要 want
巴拿馬 barnabas
总书记 secretary
天竺 tianzhu
小時候 hours
警方 police
媒体 media
刺刀 bayonet
船舶 ship
爸爸 father
成本 cost
變態 change
再有 have
註解 annotations
姿態 posture
党派 parties
臀部 hips
registration registration
gender gender
architect architect
减弱 weakened
爺爺 grandpa
jacques jacques
欢乐 joy
舉行 held
exists exists
公正 justice
indian indian
成果 results
利和 lie
maurice maurice
標準 standard
basketball basketball
视频 video
全民 referendum
蘇格蘭 soviet
自豪 proud
變成 becomes
简单 simple
記載 download
ifpi ifpi
证实 confirmed
instead instead
物流 logistics
刷卡 card
简历 resume
偽裝 camouflage
英法 anglo-french
visual visual
empire empire
解開 unlock
战术 tactical
大米 rice
公民 citizens
臉部 facial
答复 reply
衍生物 derivatives
vista vista
特殊 special
花瓣 petals
客座教授 professor
informática informática
评审 review
權利 rights
初四 hansi
欠佳 poor
其次 secondly
大教堂 cathedral
女王 queen
澳大利亞 australia
notes notes
讲师 lecturer
official official
機會 opportunity
borough borough
禮貌 gift
牌照 licence
leave leave
桂林市 guilin
無間 no
几年 years
花生 peanut
抽取 extraction
大約 about
剩下 left
記述 remember
婆婆 mother-in-law
所持 held
削减 cut
engine engine
權力 power
lines lines
liner liner
量子力学 quantum
分娩 delivery
linda linda
解除 disarmament
調節 adjustments
刺史 cishi
底特律 detroit
出家 monk
色素 pigment
拉力 pull
mathfrak mathfrak
很可能 probably
collins collins
brave brave
奉祀 enshrined
煞車 brakes
戰敗 defeat
橋樑 bridges
hudson hudson
恐龍 dinosaurs
光照 light
天津市 tianjin
無限 unlimited
制品 products
找尋 find
singer singer
投奔 defected
解雇 fired
rights rights
share share
前列 forefront
dinosauria dinosauria
獎勵 incentive
sharp sharp
养殖 aquaculture
拆卸 demolition
變換 change
議會 meeting
tucker tucker
出局 out
優異 excellent
譯本 translations
稻米 rice
links links
神靈 spiritual
shall shall
记录 recording
检验 inspection
想象 imagine
爆笑 comedy
好玩 fun
全港 territory-wide
kitty kitty
running running
無雙 no
天線 antenna
扩张 expansion
关注 attention
獵人 hunter.
特派 mission
列夫 leo
分子 molecular
女生 girls
记忆 memory
管内 tube
手指 fingers
自身 own
手持 handheld
剩余 remaining
戰時 war
該處 where
機械 machine
創下 create
愚蠢 stupid
阿拉伯 arab
創世 creation
次元 dimensional
意見 opinion
克爾 gram
cemetery cemetery
舆论 opinion
metric metric
打扮 dressed
penalties penalties
florida florida
不等式 inequality
自轉 self-rotating
牽涉 involvement
手掌 palm
分封 packet
試行 try
管制 control
停辦 stop
議案 suggestion
factor factor
拿下 take
race race
想起 reminds
手提 mobile
婚姻 marriage
健身 fitness
分局 branch
欧元 euro
殖民地 colonial
分居 separation
臨近 near
前去 ago
gaga gaga
無須 no
別墅 villa
戲曲 play
民政局 bureau
公演 premiere
分屬 separation
評論 comments
答對 answer
再次 again
變數 variables
operatorname operatorname
機構 structure
初始 initial
空白 blank
增進 increase
立法 legislation
招募 recruitment
持久 lasting
讀書 reading
只剩下 left
技工 mechanic
剛剛 just
技巧 skills
前后 around
航行 navigation
竹村 kyary
犯案 perpetrators
出席 attended
女皇 queen
statistics statistics
utype utype
創作 create
讚揚 praise
protocol protocol
竹東 bamboo
rain rain
rail rail
竹林 bamboo
sugar sugar
option option
raid raid
game game
划定 delimitation
婦女 women
共演 co-play
gale gale
electric electric
受歡迎 welcome
various various
記錄 record
投射 projection
共和國 republic
詞語 language
rank rank
rang rang
共和国 republic
榮耀 glory
她的 her
個體 body
意識 consciousness
利夫 leaf
former former
按下 press
大肆 wantonly
日本人 japanese
formed formed
列宁 lenin
範例 examples
模版 template
virus virus
外交官 diplomats
systems systems
折射 refraction
获奖 winning
tropical tropical
應用 application
大胆 bold
模特 model
dfdfdf dfdfdf
感覺 feel
興趣 interested
gary gary
分工 division
姓氏 surname
好的 good
現代化 contemporary
穿着 wearing
wiley wiley
指令 instructions
phantom phantom
扣押 seizure
菊地 chrysanthemum
分布 distribution
函式 function
猶太 jewish
terry terry
變更 change
猶大 jewish
所有 all
出征 expedition
高貴 expensive
套筒 sleeve
rate rate
内涵 connotation
打擊 hit
充當 fully
剪刀 scissors
先生 mr.
到处 to
創傷 trauma
禮部 gift
獲利 benefits
一切都 everything
gate gate
猶如 jewish
招呼 hello
觀點 views
草本 herbs
承德 chengde
大腦 brain
華北 north
portal portal
狙擊 sniper
advisory advisory
西元前 bc
王位 throne
威望 prestige
大腿 thigh
停車場 parking
豁免 exemption
意象 image
解體 solution
公然 flagrant
歐亞 europe
literature literature
等待 waiting
指使 behind
打敗 defeated
特点 characteristics
副刊 supplement
trinity trinity
儘管 despite
political political
photos photos
才是 is
that that
大臣 minister
than than
limit limit
一定會 will
獲勝 victory
大致 roughly
經濟學 economics
philippe philippe
分开 separate
大洋洲 oceania
列島 island
高超 superb
legacy legacy
大舉 big
大興 great
則在 in
感謝 thank
公安部 ministry
契約 covenant
突破 breakthrough
優秀 excellent
委派 delegate
惨重 heavy
免疫 immune
报导 reports
判定 determine
误导 misleading
判官 judge
一 one
草根 grassroots
丁 butyl
海王星 neptune
七 seven
万 wan
丈 zhang
三 three
上 on
下 under
玛丽 mary
不 no
与 and
草案 draft
丑 ugly
拼写 spelling
专 ipcc
且 and
丕 pi
世 world
凌晨 morning
丘 qiu
丙 c
业 industry
丛 plexus
东 east
丝 silk
brand brand
丞 cheng
they they
丟 throw
丢 lost
戰機 warplanes
两 two
严 strict
並 does
丧 lost
个 a
them them
then then
丫 ya
中 in
丰 feng
串 string
临 p
丸 pill
丹 dan
为 for
诱导 induced
主 main
丽 alice
举 lift
先發 first
創刊 creative
女神 goddess
乂 乂
乃 is
公爵 duke
手机 phone
久 long
么 ?
义 predefined
之 of
乌 guuam
乍 pottinger
wilhelm wilhelm
乎 depends
手札 codex
乏 spent
乐 music
才有 have
乒 ping
乔 joe
写法 writing
乘 by
乙 ethyl
才會 will
samuel samuel
話語 language
九 nine
乞 kilimanjaro
也 also
习 acquisition
乡 xiang
保守派 conservatives
公牛 bull
书 book
single single
买 buy
乱 mess
乳 milk
截止 deadline
closed closed
乾 dry
菜园 garden
亂 mess
营业 business
了 had
括号 brackets
予 be
争 contention
麻薩諸塞州 massachusetts
rules rules
事 thing
二 two
于 in
云 cloud
互 interoperability
猴子 monkey
五 five
井 well
扶手 armchair
亚 asia
些 some
谷口 valley
亞 asia
亡 apoptosis
大英 british
亢 hypersplenism
天花 smallpox
交 make
亥 helmholtz
亦 also
产 production
this this
亨 heng
亩 acres
獲取 access
享 enjoy
京 beijing
舉辦 held
亭 ting
亮 light
率先 first
亲 kiss
物理 physical
亳 bo
筷子 chopsticks
know know
人 people
亿 billion
什 what
仁 benevolence
仅 only
仆 servants
仇 xenophobia
changes changes
今 this
介 mediated
仍 still
从 from
仑 clenbuterol
仓 warehouse
仔 aberdeen
仕 beings
他 he
仗 battle
付 pay
仙 xian
荔枝 litchi
註釋 annotations
代 generation
令 order
以 to
仪 instrument
特爾 special
婷婷 tingting
们 children
仰 yang
仲 zhong
件 thing
价 price
哲學家 philosopher
任 optional
份 report
仿 imitation
企 smes
伊 iraq
伍 kivu
beyond beyond
伏 voldemort
伐 simvastatin
休 hugh
众 audience
优 excellent
伙 guy
会 yes
拿到 get
伝 denzo
伞 umbrella
伟 wei
凶手 killer
传 pass
伤 hurt
伦 huron
究竟 what
正中 middle
伪 pseudo
伯 berkshire
估 revaluation
伴 with
伶 alone
伸 extension
似 like
伽 gamma
佃 dian
但 but
north north
戰死 war
扶持 support
佈 announce
偽造 hypocrisy
位 bit
奈美 nami
低 low
住 live
王公 princes
佐 adjuvant
佑 bless
体 body
佔 occupied
何 what
優等 excellent
佗 tacitus
余 yu
course course
佚 lost
佛 buddha
作 for
佟 tong
你 you
加上 plus
憲章 constitution
佥 佥
灰姑娘 cinderella
佩 perry
佬 yankees
brain brain
投影 projection
佰 bai
佳 better
併 mergers
中国人 chinese
王冠 crown
出戰 war
拉多 colorado
使 make
侃 kan
侄 nephew
來 come
例 cases
侍 waitress
拉夫 ralph
sales sales
侏 jurassic
全球 global
侑 yuko
声誉 reputation
costa costa
侖 rurunrun
先知 prophet
侗 dong
供 for
出手 shot
依 according
侠 batman
加之 addition
侦 debug
侧 side
傳言 legend
侨 qiao
驾驶 driving
侬 lennon
正交 orthogonal
投得 cast
侯 hou
侵 invasion
侶 couples
便 will
係 relationship
促 promoting
俄 russian
抛弃 abandoned
affiliations affiliations
俊 june
傳記 remember
俏 fancy
打架 fight
俐 li
security security
犀牛 rhino
俗 vulgar
俘 captive
女童 girls
此人 person
保 fidelity
俞 yu
指出 that
俟 once
俠 batman
信 letter
花粉 pollen
俩 two
加了 added
俭 thrifty
修 repair
俱 furniture
假面 mask
高达 up
俸 pension
舞蹈 dance
俺 i
歐元 european
俾 pygmies
german german
倆 both
倉 barn
個 one
倍 times
without without
youth youth
公理 axiom
們 we
twins twins
倒 down
倖 survivors
候 waiting
倚 bias
借 borrow
舒适 comfortable
倡 initiatives
萃取 extraction
倩 qian
倪 ngai
承担 bear
倫 london
倭 bonobos
制定 develop
護法 protection
概要 summary
檔案 file
權威 power
债 debt
值 value
倾 dumping
much much
chapter chapter
偃 yan
步伐 pace
假 false
偉 greatest
福音 gospel
weekly weekly
加以 be
偏 partial
除此之外 besides
迦太基 carthage
高速 high-speed
偕 mackay
做 do
停 stop
前夕 eve
committee committee
凡是 all
完結篇 finish
健 health
union union
高達 gundam
suite suite
側 side
前夫 ex
偵 scout
偶 parity
偷 steal
偏離 bias
光碟 discs
抗性 resistance
偽 hypocrites
novel novel
抒情 lyric
standard standard
剿匪 counterinsurgency
傅 fu
舒適 comfortable
傍 waterfront
傑 jeff
增長 grow
报废 scrap
傘 umbrella
備 equipped
刺客 assassin
獅子 lion
骆驼 camel
成為 become
储 reservoir
催 tear
傭 maid
傲 proud
傳 traditions
債 debt
歌劇 comedy
傷 hurt
authority authority
傻 stupid
傾 tend
分成 into
僅 only
young young
僉 僉
凱撒 catherine
花絮 trailer
像 like
僑 僑
評選 evaluation
僕 servant
僖 xi
僚 liao
完整性 integrity
僧 monk
mobile mobile
看起來 look
莎拉 sarah
僱 employed
舉重 heavy
武侠 knight-errant
價 price
答應 answer
magazine magazine
pocket pocket
儀 rituals
儂 謝醒儂
億 billions
前妻 ex
先祖 ancestors
channel channel
冰河 glacier
focus focus
儉 儉
承接 undertake
approach approach
分手 breakup
qualifications qualifications
儒 confucianism
航路 route
语录 sayings
write write
牲畜 livestock
musical musical
失落 lost
優 excellent
intelligence intelligence
儲 reserve
公用 public
蒙古族 mongolian
戈爾 gore
指南 guide
bull bull
南北朝 dynasties
champion champion
儿 son
兀 wu
允 allowed
元 yuan
兄 brother
充 mesenchymal
兆 gigabit
冷氣 cold
兇 killer
先 first
光 light
克 grams
兌 confirmed
免 from
萬個 realities
剧团 troupe
兑 dollar
兒 babies
兔 rabbit
冷水 cold
猜想 guess
党 party
斯洛伐克 slovakia
兜 pocket
豐原 source
documentary documentary
入 into
heading heading
內 inside
全 all
兩 two
八 eight
臺鐵 railroad
公 public
六 six
兮 xi
六甲 malacca
兰 blue
共 total
关 off
壓迫 pressure
兴 xing
兵 soldiers
其 its
具 with
典 code
手機 phone
兹 zloty
养 pension
鑑定 identified
兼 and
兽 beast
落下 fall
entity entity
冀 hebei
成熟 mature
内 within
円 yen
冈 vatican
冉 ran
冊 brochure
儿童 children
册 book
再 again
associate associate
普朗克 planck
基金會 fund
冒 risk
先秦 qin
冕 coronal
冗 redundant
写 write
军 army
农 agricultural
冠 crown
冢 graves
婉拒 declined
void void
冤 injustice
冥 underworld
挖出 dug
抑或 or
冪 冪
冬 winter
冯 feng
冰 ice
冲 rushed
决 summary
况 conditions
冶 ye
冷 cold
剧场 theatre
冻 frozen
冼 xian
净 net
共生 symbiotic
准 quasi
谷地 valley
凉 cool
combat combat
奥斯汀 austin
units units
凌 infineon
凍 frozen
减 reduction
奶粉 milk
巴伐利亞 bavari
凜 凜
誓言 oath
共用 shared
凝 gel
几 several
凡 where
玩偶 doll
凤 feng
高野 takano
指向 point
骑马 riding
示范性 exemplary
automatic automatic
指名 named
凪 凪
王后 queen
凭 by
凯 hyatt
凰 huang
凱旋 kelly
凱 kevin
凶 fierce
凸 convex
凹 concave
出 out
击 blow
函 letter
鮑威爾 bob
凿 chisel
刀 knife
刁 diao
亚马逊 amazon
刃 blade
分 part
切 cut
刊 journal
狀況 situation
刑 punishment
划 zoned
三十五 35
列 column
刘 liu
则 the
外表 appearance
刚 just
出擊 attack
创 create
初 early
鍵盤 keyboard
events events
删 deleted
新宿線 shinjuku
判 sentenced
別 don't
利 unmil
扭曲 distorted
刪 deleted
别 don't
奈良 nara
刮 shave
kong kong
到 to
input input
批斗 denounced
制 business
刷 brush
券 coupons
竟然 even
刹 brake
承擔 bearing
刺 thorn
must must
刻 moment
稱號 call
歷代 generations
剂 agent
剃 shaving
歸仁 benevolence
則 rules
削 milling
標示 standard
剌 stimulate
前 before
認證 verification
剎 brake
剑 sword
再版 reprint
knight knight
投手 pitcher
剛 just
剧 play
歷任 tenure
剩 left
剪 shear
副 deputy
到底 what
割 cut
創 creative
抗戰 combat
懷疑 suspicion
焦點 focus
八百 800
全盛 heyday
認識 knowledge
偏食 eclipse
剿 suppression
till till
劃 scratch
劇 drama
萬元 million
劈 split
死亡 death
劍 sword
停靠 docked
劑 placebo
公的 male
死人 dead
懸疑 suspense
骨頭 bone
力 force
把握 grasp
劝 advised
办 do
功 reactive
加 add
务 works
劣 deterioration
动 move
助 support
努 yunus
劫 robbery
劭 shultiess
步入 into
筹建 preparation
励 excitation
劲 strength
劳 laura
六百 600
夜行 nocturnal
步兵 infantry
切換 switch
马龙 marlon
劾 劾
势 potential
勁 juice
范畴 category
勃 hubble
手段 means
勇 yong
折扣 discount
勉 mian
勋 hoon
加入 join
勐 meng
勒 doppler
公益 public
動 move
勖 lanxu
勘 prospecting
務 tasks
jacob jacob
勝 victory
勞 futile
募 raised
玩具 toys
勢 gesture
歷來 history
勤 deloitte
獨奏 solo
勳 hoon
勵 inspire
wikimedia wikimedia
航运 shipping
勸 advise
time time
勾 hook
勿 not
加冕 coronation
冷淡 cold
歸來 come
包 package
happy happy
匈 hungary
keith keith
等效 equivalent
函數 function
熱身 hot
化 of
北 north
抗拒 resist
函数 function
匙 key
匝 turn-to-turn
匠 locksmith
匡 kuang
歩兵 advances
vocaloid vocaloid
匣 box
航速 speed
匪 bandits
philosophy philosophy
匯 exchange
語言 language
匹 horse
区 area
制度 system
譯為 translated
医 medical
匾 plaque
匿 punic
區 area
十 ten
千 millennium
卅 30
升 rise
